Ref,Date received,Councillor,Service area,Directorate
12481717,22/07/2022,"Hinkley, Sally","Highways, Traffic and Infrastructure",Place
12481516,22/07/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12485348,22/07/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12486648,22/07/2022,"Leaf, David",Planning and Regulation,Place
12480016,22/07/2022,"Oppong-Asare, Abena",Environmental Services,Place
12480316,22/07/2022,"Oppong-Asare, Abena",Housing Services,Place
12481116,22/07/2022,"Read, Philip",Safeguarding Adults,Adult Social Care & Health
12479916,22/07/2022,"Sandhu, Rags","Highways, Traffic and Infrastructure",Place
12504044,22/07/2022,"Sandhu, Rags",Environmental Services,Place
12494412,22/07/2022,"Seymour, Melvin",Environmental Services,Place
12493812,23/07/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12482116,25/07/2022,"Asunramu, Zainab",Exchequer Services,Finance
12495512,25/07/2022,"Bishop, Brian","Highways, Traffic and Infrastructure",Place
12487050,25/07/2022,"Christoforides, Kurtis",Leisure Parks and Open Spaces,Place
12480916,25/07/2022,"Evennett, David",Housing Services,Place
12494912,25/07/2022,"Evennett, David",Housing Services,Place
12494612,25/07/2022,"Hall, Steven",Environmental Services,Place
12498714,25/07/2022,"Hall, Steven",Environmental Services,Place
12486948,25/07/2022,"Hall, Steven","Highways, Traffic and Infrastructure",Place
12486952,25/07/2022,"Hall, Steven",Housing Services,Place
12485648,25/07/2022,"Holding, Angela",Complex Care,Adult Social Care & Health
12486950,25/07/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12491248,25/07/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12494112,25/07/2022,"Leaf, David",Leisure Parks and Open Spaces,Place
12481316,25/07/2022,"Munur, Cafer","Highways, Traffic and Infrastructure",Place
12482416,25/07/2022,"Munur, Cafer",Environmental Services,Place
12482417,25/07/2022,"Munur, Cafer",Leisure Parks and Open Spaces,Place
12491548,25/07/2022,"Munur, Cafer",Environmental Services,Place
12495112,25/07/2022,"Munur, Cafer",Environmental Services,Place
12490248,25/07/2022,"O'Neill OBE, Teresa",Planning and Regulation,Place
12495912,25/07/2022,"Slaughter, June","Highways, Traffic and Infrastructure",Place
12490549,26/07/2022,"Ball, Chris",Leisure Parks and Open Spaces,Place
12490748,26/07/2022,"Borella, Stefano",Libraries and Communities,Place
12514873,26/07/2022,"Borella, Stefano",16+ Learning and Skills,Educational Achievement & Inclusion
12497012,26/07/2022,"Day, Anna",Housing Services,Place
12488548,26/07/2022,"Oppong-Asare, Abena",Housing Services,Place
12488749,26/07/2022,"Oppong-Asare, Abena","Highways, Traffic and Infrastructure",Place
12484548,26/07/2022,"Perfect, Wendy","School Expansion, Transport and Admissions",Educational Achievement & Inclusion
12503644,27/07/2022,"Borella, Stefano","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12503044,27/07/2022,"Christoforides, Kurtis",Environmental Services,Place
12498512,27/07/2022,"Evennett, David",Housing Services,Place
12501145,27/07/2022,"Evennett, David",Complex Care,Adult Social Care & Health
12499612,27/07/2022,"French, Louie",Housing Services,Place
12503544,27/07/2022,"Newton, Caroline",Complex Care,Adult Social Care & Health
12498613,27/07/2022,"Oppong-Asare, Abena",Housing Services,Place
12502744,27/07/2022,"Oppong-Asare, Abena",Exchequer Services,Finance
12498312,27/07/2022,"Seymour, Melvin","Highways, Traffic and Infrastructure",Place
12504944,28/07/2022,"Ball, Chris",Housing Services,Place
12513272,28/07/2022,"Ball, Chris",Housing Services,Place
12503244,28/07/2022,"Borella, Stefano",Environmental Services,Place
12522336,28/07/2022,"Holding, Angela",Environmental Services,Place
12529768,28/07/2022,"Holding, Angela",Environmental Services,Place
12513472,28/07/2022,"O'Neill OBE, Teresa","Property, Assets and Facilities Management",Finance
12514972,28/07/2022,"Seymour, Melvin",Environmental Services,Place
12515472,28/07/2022,"Slaughter, June",Housing Services,Place
12513672,29/07/2022,"Bishop, Brian",Exchequer Services,Finance
12514073,29/07/2022,"French, Louie",0-25 SEND,Educational Achievement & Inclusion
12515073,29/07/2022,"French, Louie","Looked after Children, Permanence and Specialist Services",Childrens Social Care
12515272,29/07/2022,"French, Louie",Housing Services,Place
12517472,29/07/2022,"French, Louie",Housing Services,Place
12516372,29/07/2022,"Hall, Steven","Highways, Traffic and Infrastructure",Place
12513873,29/07/2022,"Holding, Angela",Environmental Services,Place
12522736,29/07/2022,"Holding, Angela",Environmental Services,Place
12515572,29/07/2022,"Oppong-Asare, Abena",Housing Services,Place
12522936,01/08/2022,"Borella, Stefano",Housing Services,Place
12523636,01/08/2022,"Borella, Stefano",Libraries and Communities,Place
12523536,01/08/2022,"Davey, John",Environmental Services,Place
12524836,01/08/2022,"Davey, John","Highways, Traffic and Infrastructure",Place
12520772,01/08/2022,"Evennett, David",Housing Services,Place
12528037,01/08/2022,"Evennett, David","Highways, Traffic and Infrastructure",Place
12527936,01/08/2022,"French, Louie",Libraries and Communities,Place
12529968,01/08/2022,"Hall, Steven",Libraries and Communities,Place
12517172,01/08/2022,"Hinkley, Sally",Leisure Parks and Open Spaces,Place
12521072,01/08/2022,"Oppong-Asare, Abena",Complex Care,Adult Social Care & Health
12526036,01/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12526337,01/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12526339,01/08/2022,"Oppong-Asare, Abena","Highways, Traffic and Infrastructure",Place
12531770,01/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12525136,01/08/2022,"Sandhu, Rags",Environmental Services,Place
12528436,02/08/2022,"Evennett, David",Exchequer Services,Finance
12529168,02/08/2022,"Evennett, David",Housing Services,Place
12526236,02/08/2022,"French, Louie",Housing Services,Place
12523236,02/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12526436,02/08/2022,"Oppong-Asare, Abena",Leisure Parks and Open Spaces,Place
12529368,02/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12531668,02/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12544896,03/08/2022,"Bishop, Brian","Highways, Traffic and Infrastructure",Place
12535168,03/08/2022,"Campbell, Duncan",Parking Enforcement (Bexley and Bromley),Place
12534670,03/08/2022,"Evennett, David",Complex Care,Adult Social Care & Health
12531869,03/08/2022,"French, Louie",Housing Services,Place
12534568,03/08/2022,"French, Louie",Parking Enforcement (Bexley and Bromley),Place
12535768,03/08/2022,"Hall, Steven",Environmental Services,Place
12545096,03/08/2022,"Hall, Steven",Environmental Services,Place
12534968,03/08/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12535268,03/08/2022,"Oppong-Asare, Abena",Exchequer Services,Finance
12548592,04/08/2022,"Evennett, David",Housing Services,Place
12544996,04/08/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12554224,05/08/2022,"Carew, Bola",Complex Care,Adult Social Care & Health
12556120,05/08/2022,"French, Louie",Housing Services,Place
12545099,05/08/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12568254,08/08/2022,"French, Louie",Housing Services,Place
12609133,09/08/2022,"Ball, Chris",Environmental Services,Place
12553324,09/08/2022,"Evennett, David",Housing Services,Place
12555224,09/08/2022,"French, Louie",Housing Services,Place
12555324,09/08/2022,"Reader, Peter",Housing Services,Place
12560420,10/08/2022,"Amaning, Esther",Planning and Regulation,Place
12608832,10/08/2022,"Bacon, Cheryl","Highways, Traffic and Infrastructure",Place
12604400,10/08/2022,"Carew, Bola",Environmental Services,Place
12559920,10/08/2022,"Curtois, Andrew",Housing Services,Place
12556420,10/08/2022,"French, Louie",Parking Enforcement (Bexley and Bromley),Place
12556920,10/08/2022,"French, Louie",Housing Services,Place
12558920,10/08/2022,"French, Louie",Exchequer Services,Finance
12560621,10/08/2022,"Hall, Steven",Environmental Services,Place
12603800,10/08/2022,"Hall, Steven",Environmental Services,Place
12561522,10/08/2022,"Leaf, David",Procurement & Supplier Management,Finance
12561021,10/08/2022,"O'Neill OBE, Teresa",Housing Services,Place
12561520,10/08/2022,"O'Neill OBE, Teresa",Corporate Finance,Finance
12591640,10/08/2022,"Perfect, Wendy",Libraries and Communities,Place
12584176,10/08/2022,"Sandhu, Rags",Environmental Services,Place
12565152,11/08/2022,"Ball, Chris",Leisure Parks and Open Spaces,Place
12568257,11/08/2022,"Ball, Chris",Exchequer Services,Finance
12564652,11/08/2022,"Carew, Bola",Environmental Services,Place
12564852,11/08/2022,"Carew, Bola",Complex Care,Adult Social Care & Health
12567552,11/08/2022,"Craske, Peter",Parking Enforcement (Bexley and Bromley),Place
12567654,11/08/2022,"Davey, John",Strategic Planning,Place
12619896,11/08/2022,"Gower MBE, Sue",Leisure Parks and Open Spaces,Place
12563852,11/08/2022,"Hall, Steven",Environmental Services,Place
12611132,11/08/2022,"Hunt, James",Environmental Services,Place
12621597,11/08/2022,"Hunt, James",Environmental Services,Place
12605400,11/08/2022,"Leaf, David",Planning and Regulation,Place
12611932,11/08/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12567655,11/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12567952,11/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12567954,11/08/2022,"Oppong-Asare, Abena",Exchequer Services,Finance
12568052,11/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12568152,11/08/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12602901,11/08/2022,"Reader, Peter",Environmental Services,Place
12610932,11/08/2022,"Seymour, Melvin",Housing Services,Place
12614232,11/08/2022,"Seymour, Melvin","Highways, Traffic and Infrastructure",Place
12570316,12/08/2022,"Brooks, Frazer",Exchequer Services,Finance
12614532,12/08/2022,"Curtois, Andrew",Complex Care,Adult Social Care & Health
12571216,12/08/2022,"Evennett, David","Highways, Traffic and Infrastructure",Place
12571618,12/08/2022,"French, Louie",Complex Care,Adult Social Care & Health
12572316,12/08/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12572616,12/08/2022,"French, Louie",Housing Services,Place
12572516,12/08/2022,"Hunt, James",Environmental Services,Place
12606600,12/08/2022,"Leaf, David","Corporate HR, Organisational Learning and Development",Corporate Services
12611033,12/08/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12569216,12/08/2022,"Oppong-Asare, Abena","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12572016,12/08/2022,"Sandhu, Rags",Environmental Services,Place
12621196,12/08/2022,"Sandhu, Rags","Highways, Traffic and Infrastructure",Place
12605000,12/08/2022,"Seymour, Melvin",Libraries and Communities,Place
12618096,13/08/2022,"Hinkley, Sally",Environmental Services,Place
12574412,15/08/2022,"Amaning, Esther",Leisure Parks and Open Spaces,Place
12579912,15/08/2022,"Carew, Bola",Environmental Services,Place
12579412,15/08/2022,"Craske, Peter",Environmental Services,Place
12576812,15/08/2022,"Day, Anna",Housing Services,Place
12581216,15/08/2022,"Evennett, David",Housing Services,Place
12577612,15/08/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12581113,15/08/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12576112,15/08/2022,"Holloway, Adam",Housing Services,Place
12578812,15/08/2022,"Hunt, James",Environmental Services,Place
12611833,15/08/2022,"Leaf, David",Exchequer Services,Finance
12574712,15/08/2022,"Leaf, David",Exchequer Services,Finance
12581117,15/08/2022,"Leaf, David","Corporate HR, Organisational Learning and Development",Corporate Services
12581214,15/08/2022,"Leaf, David",Environmental Services,Place
12614332,15/08/2022,"Leaf, David",Housing Services,Place
12575913,15/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12580612,15/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12580012,15/08/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12579212,15/08/2022,"Sandhu, Rags",Environmental Services,Place
12577712,15/08/2022,"Seymour, Melvin",Environmental Services,Place
12615132,15/08/2022,"Taylor, Nicola",Leisure Parks and Open Spaces,Place
12581116,15/08/2022,"Taylor, Nicola",Environmental Services,Place
12616498,15/08/2022,"Taylor, Nicola",Leisure Parks and Open Spaces,Place
12586176,16/08/2022,"Amaning, Esther",Environmental Services,Place
12584576,16/08/2022,"Di Netimah, Felix",Environmental Services,Place
12585576,16/08/2022,"Hunt, James",Environmental Services,Place
12585277,16/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12584276,16/08/2022,"Sandhu, Rags","Highways, Traffic and Infrastructure",Place
12590040,17/08/2022,"Bishop, Brian",Housing Services,Place
12616196,17/08/2022,"Borella, Stefano",Environmental Services,Place
12589240,17/08/2022,"Davey, John",Communications and Marketing,Finance
12611332,17/08/2022,"Evennett, David",Housing Services,Place
12588040,17/08/2022,"Hall, Steven",Environmental Services,Place
12588340,17/08/2022,"Leaf, David","Property, Assets and Facilities Management",Finance
12588540,17/08/2022,"Leaf, David",Exchequer Services,Finance
12588440,17/08/2022,"O'Neill OBE, Teresa",Housing Services,Place
12589740,17/08/2022,"O'Neill OBE, Teresa",Complex Care,Adult Social Care & Health
12602900,17/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12587740,17/08/2022,"Sandhu, Rags",Environmental Services,Place
12618296,17/08/2022,"Sandhu, Rags",Housing Services,Place
12607900,18/08/2022,"Hall, Steven",Environmental Services,Place
12618896,18/08/2022,"Holding, Angela",Environmental Services,Place
12602702,18/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12594272,18/08/2022,"Perfect, Wendy",Housing Services,Place
12616996,19/08/2022,"French, Louie",Leisure Parks and Open Spaces,Place
12620296,19/08/2022,"Ogundayo, Mabel",Housing Services,Place
12617496,19/08/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12611832,19/08/2022,"Taylor, Christopher","Highways, Traffic and Infrastructure",Place
12604701,22/08/2022,"Brooks, Frazer",Exchequer Services,Finance
12631192,22/08/2022,"Curtois, Andrew",Environmental Services,Place
12612732,22/08/2022,"Leaf, David",Planning and Regulation,Place
12621396,22/08/2022,"Leaf, David",Environmental Services,Place
12608100,22/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12603200,22/08/2022,"Reader, Peter",Environmental Services,Place
12645984,23/08/2022,"Ball, Chris",Libraries and Communities,Place
12612035,23/08/2022,"Brooks, Frazer",Libraries and Communities,Place
12609134,23/08/2022,"Evennett, David",Housing Services,Place
12610532,23/08/2022,"Ferguson, Larry",Planning and Regulation,Place
12625460,23/08/2022,"French, Louie",Housing Services,Place
12612033,23/08/2022,"Hinkley, Sally",Housing Services,Place
12618596,24/08/2022,"Ball, Chris","Highways, Traffic and Infrastructure",Place
12620596,24/08/2022,"Bishop, Brian",Housing Services,Place
12663776,24/08/2022,"Borella, Stefano",Environmental Services,Place
12646884,24/08/2022,"Borella, Stefano",Leisure Parks and Open Spaces,Place
12616496,24/08/2022,"Day, Anna",Housing Services,Place
12619597,24/08/2022,"Evennett, David",Housing Services,Place
12629692,24/08/2022,"Ferguson, Larry",Environmental Services,Place
12630193,24/08/2022,"Ferguson, Larry",Environmental Services,Place
12616797,24/08/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12617196,24/08/2022,"French, Louie",Housing Services,Place
12619897,24/08/2022,"French, Louie",Housing Services,Place
12630092,24/08/2022,"French, Louie",Environmental Services,Place
12628292,24/08/2022,"Gower MBE, Sue",Housing Services,Place
12646785,24/08/2022,"Hall, Steven",Environmental Services,Place
12629793,24/08/2022,"Hinkley, Sally",Environmental Services,Place
12619599,24/08/2022,"Holding, Angela",Environmental Services,Place
12620796,24/08/2022,"Holding, Angela",Housing Services,Place
12622096,24/08/2022,"Leaf, David",Exchequer Services,Finance
12619596,24/08/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12616499,24/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12624461,25/08/2022,"Adams, Patrick ","Highways, Traffic and Infrastructure",Place
12624561,25/08/2022,"Amaning, Esther",Environmental Services,Place
12646484,25/08/2022,"Catterall, Christine",Complex Care,Adult Social Care & Health
12625060,25/08/2022,"Evennett, David",Parking Enforcement (Bexley and Bromley),Place
12625760,25/08/2022,"French, Louie",Housing Services,Place
12626360,25/08/2022,"French, Louie",Complex Care,Adult Social Care & Health
12628692,25/08/2022,"French, Louie",Environmental Services,Place
12629092,25/08/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12626060,25/08/2022,"Gill, Baljeet",Environmental Services,Place
12640784,25/08/2022,"Hall, Steven",Libraries and Communities,Place
12625961,25/08/2022,"Hinkley, Sally",Strategic Planning,Place
12624162,25/08/2022,"Holding, Angela",Environmental Services,Place
12670101,25/08/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12625360,25/08/2022,"Leaf, David",Exchequer Services,Finance
12631194,25/08/2022,"Leaf, David",Planning and Regulation,Place
12652712,25/08/2022,"Leaf, David",Environmental Services,Place
12623960,25/08/2022,"Oppong-Asare, Abena",Leisure Parks and Open Spaces,Place
12647084,25/08/2022,"Oppong-Asare, Abena",Libraries and Communities,Place
12646984,25/08/2022,"Taylor, Nicola",Environmental Services,Place
12641784,26/08/2022,"Campbell, Duncan",Environmental Services,Place
12641284,26/08/2022,"Ferguson, Larry",Housing Services,Place
12655314,26/08/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12657512,26/08/2022,"Munur, Cafer",Environmental Services,Place
12660076,27/08/2022,"Day, Anna",Complex Care,Adult Social Care & Health
12643384,27/08/2022,"Leaf, David",Environmental Services,Place
12640584,29/08/2022,"Hall, Steven",Environmental Services,Place
12640684,29/08/2022,"Hall, Steven",Libraries and Communities,Place
12661476,29/08/2022,"Hall, Steven",Environmental Services,Place
12660176,30/08/2022,"Borella, Stefano",Housing Services,Place
12639984,30/08/2022,"Borella, Stefano",Environmental Services,Place
12647484,30/08/2022,"Borella, Stefano",Environmental Services,Place
12654412,30/08/2022,"Carew, Bola",Exchequer Services,Finance
12640785,30/08/2022,"Evennett, David",Housing Services,Place
12643484,30/08/2022,"Ferguson, Larry",Libraries and Communities,Place
12639584,30/08/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12641286,30/08/2022,"French, Louie",Housing Services,Place
12644384,30/08/2022,"French, Louie",Housing Services,Place
12644986,30/08/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12645284,30/08/2022,"French, Louie",Customer Services & Business Support,Corporate Services
12645784,30/08/2022,"French, Louie",Housing Services,Place
12648384,30/08/2022,"French, Louie",Exchequer Services,Finance
12646685,30/08/2022,"Gower MBE, Sue",Planning and Regulation,Place
12654513,30/08/2022,"Hall, Steven","Highways, Traffic and Infrastructure",Place
12678764,30/08/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12655312,31/08/2022,"French, Louie",Environmental Services,Place
12655712,31/08/2022,"French, Louie",Housing Services,Place
12657812,31/08/2022,"French, Louie","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12662876,31/08/2022,"French, Louie","Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
12652512,31/08/2022,"Gill, Baljeet",Leisure Parks and Open Spaces,Place
12652812,31/08/2022,"Holding, Angela",Environmental Services,Place
12657212,31/08/2022,"Holding, Angela",Exchequer Services,Finance
12661678,31/08/2022,"Moore, Lisa-Jane",Environmental Services,Place
12652212,31/08/2022,"Oppong-Asare, Abena",Environmental Services,Place
12654312,31/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12654612,31/08/2022,"Oppong-Asare, Abena",Libraries and Communities,Place
12663877,31/08/2022,"Oppong-Asare, Abena",Housing Services,Place
12655912,31/08/2022,"Read, Philip",Environmental Services,Place
12661577,31/08/2022,"Seymour, Melvin",Housing Services,Place
12664076,01/09/2022,"Carew, Bola",Parking Enforcement (Bexley and Bromley),Place
12660376,01/09/2022,"Christoforides, Kurtis","Highways, Traffic and Infrastructure",Place
12661478,01/09/2022,"French, Louie",Housing Services,Place
12678966,01/09/2022,"Leaf, David",Exchequer Services,Finance
12693329,01/09/2022,"O'Neill OBE, Teresa",Housing Services,Place
12664476,01/09/2022,"Oppong-Asare, Abena",Environmental Services,Place
12663176,01/09/2022,"Perfect, Wendy",Environmental Services,Place
12663576,01/09/2022,"Perfect, Wendy","Highways, Traffic and Infrastructure",Place
12679364,02/09/2022,"Amaning, Esther",Exchequer Services,Finance
12679164,02/09/2022,"Ball, Chris",Housing Services,Place
12683864,02/09/2022,"Ball, Chris",Housing Services,Place
12671601,02/09/2022,"Day, Anna",Housing Services,Place
12681664,02/09/2022,"Dourmoush, Andy","Highways, Traffic and Infrastructure",Place
12671306,02/09/2022,"French, Louie",0-25 SEND,Educational Achievement & Inclusion
12681064,02/09/2022,"French, Louie",Housing Services,Place
12683869,02/09/2022,"French, Louie",Strategic Planning,Place
12671302,02/09/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12681266,02/09/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12674401,02/09/2022,"Holding, Angela",Environmental Services,Place
12678964,02/09/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12691828,02/09/2022,"Holding, Angela",Exchequer Services,Finance
12673600,02/09/2022,"Leaf, David","Property, Assets and Facilities Management",Finance
12683665,02/09/2022,"Oppong-Asare, Abena","Highways, Traffic and Infrastructure",Place
12671900,02/09/2022,"Read, Philip",Environmental Services,Place
12683264,02/09/2022,"Read, Philip",Environmental Services,Place
12685364,02/09/2022,"Seymour, Melvin",Complex Care,Adult Social Care & Health
12669500,05/09/2022,"Amaning, Esther",Environmental Services,Place
12682364,05/09/2022,"Bacon, Cheryl",Exchequer Services,Finance
12669501,05/09/2022,"Borella, Stefano",Environmental Services,Place
12682964,05/09/2022,"French, Louie",Housing Services,Place
12683371,05/09/2022,"French, Louie",0-25 SEND,Educational Achievement & Inclusion
12681964,05/09/2022,"Hall, Steven",Environmental Services,Place
12669800,05/09/2022,"Holding, Angela",Environmental Services,Place
12674702,05/09/2022,"Jackson, Howard","Highways, Traffic and Infrastructure",Place
12673400,05/09/2022,"Leaf, David",Exchequer Services,Finance
12670301,05/09/2022,"Leaf, David",Environmental Services,Place
12683768,05/09/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12674300,05/09/2022,"Oppong-Asare, Abena",Libraries and Communities,Place
12688396,05/09/2022,"Reader, Peter",Environmental Services,Place
12688596,05/09/2022,"Slaughter, June","Highways, Traffic and Infrastructure",Place
12692328,06/09/2022,"Betts, Nigel","Highways, Traffic and Infrastructure",Place
12683370,06/09/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12683868,06/09/2022,"French, Louie",Housing Services,Place
12686999,06/09/2022,"French, Louie",Housing Services,Place
12687097,06/09/2022,"French, Louie",Exchequer Services,Finance
12686997,06/09/2022,"Hall, Steven",Housing Services,Place
12679864,06/09/2022,"Oppong-Asare, Abena",Housing Services,Place
12683664,06/09/2022,"Perfect, Wendy",Leisure Parks and Open Spaces,Place
12686996,06/09/2022,"Read, Philip",Environmental Services,Place
12693128,07/09/2022,"Ball, Chris","Highways, Traffic and Infrastructure",Place
12688696,07/09/2022,"Di Netimah, Felix",Environmental Services,Place
12691197,07/09/2022,"French, Louie",Environmental Services,Place
12692528,07/09/2022,"French, Louie",Complex Care,Adult Social Care & Health
12692629,07/09/2022,"French, Louie",Parking Enforcement (Bexley and Bromley),Place
12692630,07/09/2022,"French, Louie",Environmental Services,Place
12697428,07/09/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12697628,07/09/2022,"Hall, Steven",Environmental Services,Place
12688496,07/09/2022,"Hinkley, Sally",Parking Enforcement (Bexley and Bromley),Place
12693330,07/09/2022,"Holding, Angela",Environmental Services,Place
12696328,07/09/2022,"Jackson, Howard",Environmental Services,Place
12705388,07/09/2022,"O'Neill OBE, Teresa",Planning and Regulation,Place
12692631,07/09/2022,"Oppong-Asare, Abena",Housing Services,Place
12687997,07/09/2022,"Seymour, Melvin",Environmental Services,Place
12692428,07/09/2022,"Taylor, Nicola",Environmental Services,Place
12691928,08/09/2022,"Betts, Nigel","Highways, Traffic and Infrastructure",Place
12697229,08/09/2022,"Davey, John",Environmental Services,Place
12693429,08/09/2022,"Taylor, Nicola",Housing Services,Place
12706088,09/09/2022,"Ball, Chris","Highways, Traffic and Infrastructure",Place
12724652,09/09/2022,"Ball, Chris",Housing Services,Place
12705588,09/09/2022,"French, Louie",Housing Services,Place
12712488,09/09/2022,"French, Louie",Strategic Planning,Place
12705488,09/09/2022,"Oppong-Asare, Abena",Housing Services,Place
12707588,09/09/2022,"Oppong-Asare, Abena",Economic Skills and Development,Place
12706988,09/09/2022,"Perfect, Wendy",Environmental Services,Place
12766072,09/09/2022,"Taylor, Nicola",Housing Services,Place
12707288,12/09/2022,"Ball, Chris",Housing Services,Place
12716821,12/09/2022,"Christoforides, Kurtis","Highways, Traffic and Infrastructure",Place
12706388,12/09/2022,"French, Louie",Housing Services,Place
12706688,12/09/2022,"French, Louie",Complex Care,Adult Social Care & Health
12713088,12/09/2022,"French, Louie","Highways, Traffic and Infrastructure",Place
12716720,12/09/2022,"French, Louie",Exchequer Services,Finance
12719620,12/09/2022,"Jackson, Howard",Housing Services,Place
12714320,12/09/2022,"Munur, Cafer",Environmental Services,Place
12712988,12/09/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12713588,12/09/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12711488,12/09/2022,"Reader, Peter",Environmental Services,Place
12715520,13/09/2022,"Ball, Chris",Libraries and Communities,Place
12723252,13/09/2022,"French, Louie",Planning and Regulation,Place
12731716,13/09/2022,"Hinkley, Sally",Housing Services,Place
12715620,13/09/2022,"Jackson, Howard","Highways, Traffic and Infrastructure",Place
12715020,13/09/2022,"Johnson MP, Gareth",Housing Services,Place
12716420,13/09/2022,"Leaf, David",Exchequer Services,Finance
12720020,13/09/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12715920,13/09/2022,"Oppong-Asare, Abena",Libraries and Communities,Place
12717020,13/09/2022,"Perfect, Wendy",Environmental Services,Place
12731417,13/09/2022,"Slaughter, June",Planning and Regulation,Place
12723053,14/09/2022,"Ball, Chris",Housing Services,Place
12725152,14/09/2022,"Carew, Bola",Parking Enforcement (Bexley and Bromley),Place
12724952,14/09/2022,"Leaf, David","Highways, Traffic and Infrastructure",Place
12732516,14/09/2022,"O'Neill OBE, Teresa",Environmental Services,Place
12723452,14/09/2022,"Perfect, Wendy",Environmental Services,Place
12724352,14/09/2022,"Perfect, Wendy",Environmental Services,Place
12731917,14/09/2022,"Perfect, Wendy",Environmental Services,Place
12730616,15/09/2022,"Christoforides, Kurtis",Environmental Services,Place
12754340,15/09/2022,"Hall, Steven",Leisure Parks and Open Spaces,Place
12726916,15/09/2022,"Jackson, Howard",Housing Services,Place
12754740,15/09/2022,"Leaf, David",Environmental Services,Place
12731316,15/09/2022,"O'Neill OBE, Teresa","Highways, Traffic and Infrastructure",Place
12727816,15/09/2022,"Perfect, Wendy",Environmental Services,Place
12730716,15/09/2022,"Perfect, Wendy",Environmental Services,Place
12731416,15/09/2022,"Taylor, Nicola",Housing Services,Place
12757340,16/09/2022,"Bishop, Brian",Parking Enforcement (Bexley and Bromley),Place
12763772,16/09/2022,"Day, Anna","Highways, Traffic and Infrastructure",Place
12754540,16/09/2022,"Hall, Steven",Environmental Services,Place
12756241,16/09/2022,"Holding, Angela","Highways, Traffic and Infrastructure",Place
12755540,16/09/2022,"Holding, Angela",Environmental Services,Place
12755940,16/09/2022,"Slaughter, June",Complex Care,Adult Social Care & Health
12756140,16/09/2022,"Slaughter, June","Highways, Traffic and Infrastructure",Place
12754741,16/09/2022,"Ward-Wilson, Janice","Highways, Traffic and Infrastructure",Place
12765372,19/09/2022,"Hall, Steven","Property, Assets and Facilities Management",Finance
